system_id,name,purpose,parent_domain,affected_populations,affected_institutions,scope,classification,architecture_decision,authoritative_institution_requirement,major_dependencies,sensitive_data_classes,failure_abuse_consequences,human_rights_implications,required_specialists,required_standards,assurance_certification,accessibility_nondigital_alternatives,deployment_operating_model,lifecycle_status,maturity_target_y5,maturity_target_y10,maturity_target_y20,first_wave_funding_status,doc11_mapping,never_centralize_globally,notes
H-GOV-001,Constitutional instruments registry,Publish federation constitutions,horizontal.constitutional_governance,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,GC-LG/GOV-OV,false,
H-GOV-002,Governance decision procedure engine,Encode procedures,horizontal.constitutional_governance,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,partial,GC-LG/GOV-OV,false,
H-GOV-003,Conflict-of-interest ethics register,Conflicts,horizontal.constitutional_governance,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,operate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,partial,GC-LG/GOV-OV,false,
H-GOV-004,Independent oversight case system,Oversight intake,horizontal.constitutional_governance,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,leave-to-J,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,partial,GC-LG/GOV-OV,false,
H-GOV-005,Public consultation docket,Public comment,horizontal.constitutional_governance,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,GC-LG/GOV-OV,false,
H-ID-001,Person identity account service,Person accounts,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,6,7,partial,CP-ID/GC-CP,false,
H-ID-002,Credential issuer framework,Issue/verify credentials,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,6,7,partial,CP-ID/GC-CP,false,
H-ID-003,Recovery & guardianship service,Recovery,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,CP-ID/GC-CP,false,
H-ID-004,Delegation & representation registry,Representatives,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,framework-only,CP-ID/GC-CP,false,
H-ID-005,Anti-sybil abuse detection,Fake identity limits,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,operate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,CP-ID/GC-CP,false,
H-ID-006,Minors & assisted-access identity,Age/assisted paths,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,framework-only,CP-ID/GC-CP,false,
H-ID-007,Organizational identity service,Entity accounts,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,CP-ID/GC-CP,false,
H-ID-008,Cross-border identity bridge,Map credentials without central dossier,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,federate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,framework-only,CP-ID/GC-CP,false,
H-ID-009,Biometric optional module interfaces,No global biometric DB,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,prohibit-global-central,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,1,3,4,absent,CP-ID/GC-CP,true,
H-ID-010,Identity audit & consent log,Access logs,horizontal.identity_credentials,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,CP-ID/GC-CP,false,
H-PRIV-001,Data-minimization policy engine,Purpose limitation,horizontal.privacy_data,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,SA-AS/GC-CP,false,
H-PRIV-002,Encryption key management service,Split-control keys,horizontal.privacy_data,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,6,7,partial,SA-AS/GC-CP,false,
H-PRIV-003,Cross-border transfer rule engine,Transfer legality,horizontal.privacy_data,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,framework-only,SA-AS/GC-CP,false,
H-PRIV-004,DPIA privacy impact workflow,Assessments,horizontal.privacy_data,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,SA-AS/GC-CP,false,
H-PRIV-005,Personal data export & erasure,Portability/erasure,horizontal.privacy_data,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,SA-AS/GC-CP,false,
H-PRIV-006,Confidential computing patterns,Enclave patterns,horizontal.privacy_data,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,SA-AS/GC-CP,false,
H-CIV-001,Discussion deliberation platform,Civic discussion,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,GC-CP,false,
H-CIV-002,Proposal & petition system,Proposals,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,GC-CP,false,
H-CIV-003,Consultation engine,Consultations,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,framework-only,GC-CP,false,
H-CIV-004,Delegation graph service,Delegation models,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,GC-CP,false,
H-CIV-005,Voting ballot casting service,Authorized ballots,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,framework-only,GC-CP,true,
H-CIV-006,Election integrity observer toolkit,Observation/RLA,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,framework-only,GC-CP,false,
H-CIV-007,Coercion-resistance guidance,Mitigations,horizontal.civic_participation,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,3,5,absent,GC-CP,false,
H-LEG-001,Legislative drafting workspace,Draft legislation,horizontal.legislation_records,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,GC-CP,false,
H-LEG-002,Official gazette publication bridge,Official pubs,horizontal.legislation_records,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,hidden-in-J-II,GC-CP,false,
H-LEG-003,Implementation tracking register,Implementation status,horizontal.legislation_records,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,GC-CP,false,
H-LEG-004,Public records archive,Long-term archive,horizontal.legislation_records,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,multi-impl,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,GC-CP,false,
H-LEG-005,Provenance integrity sealing,Tamper evidence,horizontal.legislation_records,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,6,7,partial,GC-CP,false,
H-AGR-001,Agreement contract workspace,Agreements,horizontal.agreements_disputes,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,CP-AUD,false,
H-AGR-002,Electronic signature gateway,QTSP/local e-sign,horizontal.agreements_disputes,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,CP-AUD,false,
H-AGR-003,Evidence locker,Evidence packages,horizontal.agreements_disputes,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,CP-AUD,false,
H-AGR-004,Dispute intake ADR workflow,Disputes,horizontal.agreements_disputes,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,framework-only,CP-AUD,false,
H-AGR-005,Court e-filing bridge,Courts,horizontal.agreements_disputes,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,1,3,5,hidden-in-J-II,CP-AUD,false,
H-CASE-001,Generic case management engine,Case patterns,horizontal.public_services_case,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,6,7,partial,GC-CP/AE-ADS,false,
H-CASE-002,Appointment queue service,Scheduling,horizontal.public_services_case,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,GC-CP/AE-ADS,false,
H-CASE-003,Notifications correspondence,Notices,horizontal.public_services_case,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,6,7,partial,GC-CP/AE-ADS,false,
H-CASE-004,SLA performance dashboard,SLOs,horizontal.public_services_case,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,framework-only,GC-CP/AE-ADS,false,
H-CASE-005,Non-digital channel orchestration,Assisted paths,horizontal.public_services_case,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,GC-CP/AE-ADS,false,
H-PAY-001,Payment initiation gateway,Regulated rails,horizontal.payments_accounting,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,CP-PAY,false,
H-PAY-002,Cost-recovery fee engine,Documented fees,horizontal.payments_accounting,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,operate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,4,5,6,adequate,CP-PAY,false,
H-PAY-003,Treasury reconciliation service,Core treasury,horizontal.payments_accounting,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,operate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,6,partial,CP-PAY,false,
H-PAY-004,Procurement workflow shared,Procurement patterns,horizontal.payments_accounting,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,CP-PAY,false,
H-PAY-005,Accounting ledger bridge,Books bridge,horizontal.payments_accounting,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,hidden-in-J-II,CP-PAY,false,
H-TAX-001,Tax rule hooks filing bridges,Interfaces only,horizontal.taxation_fiscal,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,CP-PAY/SD-TAX,true,
H-TAX-002,Fiscal transparency publication,Open budgets,horizontal.taxation_fiscal,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,standards,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,5,framework-only,CP-PAY/SD-TAX,false,
H-ORG-001,Organization registry overlay,Org discovery,horizontal.org_authority_registries,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,GC-CP,false,
H-ORG-002,Authority role attestation service,Attest/revoke,horizontal.org_authority_registries,residents_and_institutions,governments_operators_partners,jurisdictional,shared-core,reference,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,3,5,7,partial,GC-CP,false,
H-ORG-003,Official company-register bridge,Company registers,horizontal.org_authority_registries,residents_and_institutions,governments_operators_partners,jurisdictional,integration,integrate,jurisdictional_authority,identity;privacy;security;records,pii;domain_sensitive,service_outage;rights_harm;trust_loss,access;privacy;non_discrimination;due_process,domain_specialists;engineers;counsel,open_interop;security_baselines,security_privacy_a11y_review,required_for_claimed_services,federated_multi_operator,planned,2,4,6,hidden-in-J-II,GC-CP,false,
