section,row_id,vehicle,scenario,instrument,label,active_users_m,amount_usd_m,amount_usd_b,pct,rpu_usd,margin,irr,moic,payback_years,tv_dependent,confidence,evidence_class,value_1,value_2,value_3,value_4,value_5,notes
meta,META-01,,,,disclaimer,,,,,,,,,,,,,,,,,,"Scenario redesign model. Not an offer, solicitation, return guarantee, or approved payout policy. Preserves doc20 finding that undifferentiated $800M equity ~0.3x MOIC without TV is unattractive. No app finance changes."
meta,META-02,,,,prior_finding_preserved,,,,,,,,,,,,,,,,,,Doc20 base: ~$21.3B 15y commercial gross; ~$3.5B distributable; $800M equity ~0.31x MOIC / negative IRR without TV; ~5.4x/~15% IRR with speculative TV. Not concealed.
platform_benchmarks,BM-META,,,,Meta Platforms FY2025,3.58B Family DAP (Dec 2025 avg),,200.97,,57.03,,,,,,H,benchmark_disclosure,196.18,83.28,60.46,~21y from Facebook founding (2004),Advertising (~98% of rev),Behavioral ads at planetary engagement; not public-interest civic infra; Reality Labs drag; different mission/data rules
platform_benchmarks,BM-GOOG,,,,Alphabet/Google FY2025,Search/YouTube MAU not single DAP; Search dominant,,402.84,,n/a_single,,,,,,H,benchmark_disclosure,294.7,129.04,132.17,~27y from Google founding (1998),Search/YouTube/Network ads + Cloud + subscriptions,Ad auction + intent data; Cloud enterprise; not civic identity steward
platform_benchmarks,BM-LI,,,,LinkedIn (MSFT FY25),~1B+ members (company disclosures vary),,17.81,,~18,,,,,,H,benchmark_disclosure,mixed_ads_talent_prem,n/a_segment,n/a,~22y (2003) / MSFT owned since 2016,"Talent solutions, premium, advertising, learning",Professional network; closest soft comparator for jobs/directory; not government infra
platform_benchmarks,BM-AMZ,,,,Amazon marketplace (illustrative),Hundreds of millions buyers,,,,n/a,,,,,,M,benchmark_disclosure,n/a,n/a,n/a,~30y,Third-party seller fees + FBA (take rate often cited ~8–15% referral + services),Commerce marketplace; Civizen B2B/discovery only; no personal-data ads
platform_benchmarks,BM-VISA,,,,Visa FY2025 (approx),Billions of cards/accounts network,,35.9,,n/a,,,,,,M,benchmark_disclosure,0,high_50pct+,n/a,~60y+,Network fees on payment volume (not consumer ARPU ads),Payments network; Civizen fee policy: personal $0; legal-entity cost-recovery ≠ Visa model
platform_benchmarks,BM-MA,,,,Mastercard CY2025,Global card network,,32.8,,n/a,,,,,,H,benchmark_disclosure,0,18.9,15.0,~60y+,Payment network + value-added services,Same as Visa: not Civizen citizen-fee model
platform_benchmarks,BM-OKTA,,,,Okta (identity SaaS illustrative),Thousands of enterprise customers,,,,high_per_customer,,,,,,M,benchmark_disclosure,0,saas_margin,n/a,~15y,Enterprise identity subscription,Closest enterprise identity commercial comparator; Civizen identity core is public-interest / not mandatory-access profit
platform_benchmarks,BM-GOVTECH,,,,Gov/institutional tech providers (class),Agency customers,,,,contract,,,,,,M,benchmark_disclosure,0,services_10_25pct,n/a,varies,"Procurement, SI, SaaS to government",Jurisdiction vehicles closest; political/procurement risk; not ad platforms
platform_benchmarks,BM-NOTE,,,,sources_and_caution,,,,,,,,,,,,,,,,,,"Meta FY2025: rev $200.97B, ads $196.18B, opinc $83.28B, NI $60.46B, DAP 3.58B, ARPP $57.03 (SEC). Alphabet FY2025: rev $402.84B, opinc $129.04B, NI $132.17B; ads Search~$224.6B + YT ads~$40.4B + Network~$29.7B. LinkedIn MSFT FY25 $17.81B. Mastercard 2025 net rev $32.8B, opinc $18.9B. Do NOT use Meta ARPP as Civizen base case."
ad_discovery_streams,AD-CTX,V-DISC,,,Contextual advertising,,,,,,0.55,,,,,L-M,adoption_sensitive,Businesses/marketers,Optional commercial surfaces only,CPM/CPC,active users on commercial surfaces,"Governance, voting, justice, identity credential, health, benefits eligibility, education records of minors",consent=Opt-in commercial profile; easy mute/block; targeting_data=Context of page/listing category only; prohibited_data=health/political/voting/justice/identity/financial/gov-service records
ad_discovery_streams,AD-DIR,V-DISC,,,Business-directory promotion,,,,,,0.6,,,,,L-M,adoption_sensitive,Local/global businesses,Directory / Market discovery,Subscription or CPC,directory impressions,Same protected contexts,consent=Business account verification; targeting_data=Business category + location claimed by advertiser; prohibited_data=sensitive personal attributes
ad_discovery_streams,AD-SPL,V-DISC,,,Sponsored marketplace listings,,,,,,0.5,,,,,L-M,adoption_sensitive,Sellers (legal entities),Market listings,CPC or % boost fee on B2B,listing views,Personal-capacity essential listings free of paid rank bias for necessities if policy requires,consent=Seller disclosure badge; targeting_data=Listing metadata; prohibited_data=personal data sale
ad_discovery_streams,AD-SEARCH,V-DISC,,,Commercial search placement,,,,,,0.55,,,,,L-M,adoption_sensitive,Businesses,Optional commercial search lanes,Auction CPC,commercial queries,Civic/law/governance search,consent=Clear Ad label; targeting_data=Query + commercial vertical; prohibited_data=identity/gov records
ad_discovery_streams,AD-JOBS,V-DISC,,,Job and opportunity promotion,,,,,,0.5,,,,,L-M,adoption_sensitive,Employers,Jobs lane,CPC or slot fee,job seekers on Jobs,Public employment benefits adjudication UI,consent=Employer verified; targeting_data=Job category/location; prohibited_data=protected class inferences for exclusionary targeting
ad_discovery_streams,AD-EDU,V-DISC,,,Educational/professional promotion,,,,,,0.55,,,,,L-M,adoption_sensitive,Schools/training providers,Study commercial lane,CPC/subscription,learner commercial surfaces,Mandatory public education eligibility,consent=Institution verified; disclosure; targeting_data=Course topic; prohibited_data=student sensitive records
ad_discovery_streams,AD-LOCAL,V-DISC,,,Local commercial discovery,,,,,,0.5,,,,,L-M,adoption_sensitive,Local businesses,Local Market,CPC/geo-sub,local active users,Emergency/public-service maps,consent=Geo consent for commercial; targeting_data=Self-declared service area; prohibited_data=precise location for civic surveillance
ad_discovery_streams,AD-PROC,V-DISC,,,Institutional procurement notices,,,,,,0.4,,,,,L-M,adoption_sensitive,Governments/institutions,Procurement board,Listing fee or free+premium,vendor accounts,Must not paywall mandatory public notices,consent=Public transparency rules; targeting_data=Notice metadata; prohibited_data=bidder personal data misuse
