section,row_id,scenario,label,classification,amount_usd_m,amount_usd_b,pct,eligible,value_1,value_2,value_3,value_4,value_5,notes,confidence
meta,META-01,,disclaimer,,,,,,,,,,,"Provisional participation policy model. Not an offer, contract, payout, or authorization to accept funds. No app implementation.",
meta,META-02,,confirmed_split_v0_1_consolidated_founder,,,,,,,,,,,SUPERSEDES dual Founder Funding + Founder Profit pools and 10/10/1/79 profit pie. NOW: (A) Eligible external monetary receipts: 1% Founder Participation Pool assessed once at first receipt; 99% retained per restrictions. (B) Eligible distributable commercial profit AFTER costs and after founder receipt allocation: 10% Investor; 10% Contributor; 80% Ecosystem. No second founder % on accounting profit.,
meta,META-03,,superseded_formulations,,,,,,,,,,,HISTORICAL/SUPERSEDED: Founder Funding Pool 1% of inflows + Founder Profit Pool 1% of profit; 10/10/1/79 single profit pie. Do not use for new planning.,
inflow_taxonomy,IN-FOUNDER-EQ,,Founder capital / equity contribution,capital,,,,candidate_eligible,True,False,False,False,related_party,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-PE,,Private equity investment,capital,,,,candidate_eligible,True,False,False,False,securities,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-DEBT,,Debt proceeds,liability,,,,excluded_unless_expressly_authorized,True,True,False,False,debt_terms,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-CONV,,Convertible / revenue-participation capital,capital_or_liability,,,,candidate_eligible,True,False,False,False,securities,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-OPS-INV,,Operator investment,capital,,,,special_review,True,False,False,False,operator_independence,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-GOV,,Government funding,restricted_or_revenue,,,,excluded_presumptive,True,False,if_earned_revenue,False,public_funds,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-MULTI,,Multilateral funding,restricted_or_grant,,,,excluded_presumptive,True,False,False,False,grant_terms,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-GRANT,,Grants,restricted_funding,,,,excluded_presumptive,True,False,False,False,restriction,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-PHIL,,Philanthropy unrestricted,contribution,,,,candidate_eligible_if_authorized,True,False,False,False,donation_policy,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-DON-U,,Unrestricted donations,contribution,,,,candidate_eligible_if_authorized,True,False,False,False,donation_policy,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-DON-R,,Restricted donations,restricted_contribution,,,,excluded_presumptive,True,False,False,False,restriction,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-J-CO,,Jurisdiction co-financing,restricted_or_pass_through,,,,excluded_presumptive,False,False,False,False,J_instrument,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-PROC,,Institutional procurement payments,revenue,,,,candidate_eligible_commercial_receipt,True,False,True,True,contract,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-CUST,,Customer revenue,revenue,,,,candidate_eligible_commercial_receipt,True,False,True,True,commercial,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-SUB,,Subscriptions,revenue,,,,candidate_eligible_commercial_receipt,True,False,True,True,commercial,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-IMPL,,Implementation revenue,revenue,,,,candidate_eligible_commercial_receipt,True,False,True,True,contract,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-AD,,Advertising and discovery revenue,revenue,,,,candidate_eligible_commercial_receipt,True,False,True,True,ad_policy,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
