section,row_id,scenario,year,label,classification,amount_usd_m,amount_usd_b,pct_of_5y_base,responsible_entity,funding_instrument,repayment_treatment,restrictions,confidence,rationale,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,notes
meta,META-01,,,disclaimer,,,,,,,,,,,,,,,,,,,"Scenario model for planning/discussion only. Not an investment offer, securities solicitation, return guarantee, approved payout policy, or legal conclusion. No app finance records changed."
meta,META-02,,,canonical_inputs,,,,,,,,,,,,,,,,,,,"Reconciled to docs 11,12,13(for ROI timing only),14,16-19; fee policy in 01; responsibility in 11; legacy capital-ledger/percentage pools HISTORICAL/UNAPPROVED."
meta,META-03,,,five_year_base_usd_b,,,37.51,,,,,,,,,,,,,,,,From 11-program-financial-model
meta,META-CF-COLS,,,annual_commercial_cf_column_legend,,,,,,,,,,,,,,,,,,,value_1=participating_J; value_2=institutions; value_3=operators; value_4=enterprise_customers; amount_usd_m=gross_revenue; value_5=CoS; value_6=OpEx; value_7=distributable_CF; value_8=raw_surplus
meta,META-INST-COLS,,,instrument_returns_column_legend,,,,,,,,,,,,,,,,,,,amount_usd_m=capital; value_1=entity_break_even_year; value_2=investor_payback_year; value_3=MOIC; value_4=IRR; value_5=avg_CoC; value_6=cum_dist; value_7=TV_included
capital_classification,GC-RS-01,,,Global research & stewardship,public_grant_funded,450.0,0.45,1.2,Foundation/steward,Grants/gifts,No investor repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Foundation/steward; grants + unrestricted philanthropy; no investor repayment,,,,,,,,,
capital_classification,GC-CP-01,,,Core platform engineering,potentially_blended_finance,1600.0,1.6,4.27,Core + commercial slice,Grants + limited private,Private tranche capped return only on commercial slice,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Public-interest reference core mostly grant; commercial-adjacent APIs/services slice investable,,,,,,,,,
capital_classification,GC-LG-01,,,Constitutional/governance/core legal,not_appropriate_for_return_seeking,400.0,0.4,1.07,Foundation/steward,Restricted grants,No return-seeking capital,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Governance formation; mission-critical; grants/philanthropy,,,,,,,,,
capital_classification,GOV-OV-01,,,Independent oversight body,not_appropriate_for_return_seeking,400.0,0.4,1.07,Independent oversight,Ring-fenced assessments/grants,No return-seeking capital,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Ring-fenced; investor control prohibited,,,,,,,,,
capital_classification,SA-AS-01,,,Security/privacy/AI assurance (core),potentially_blended_finance,700.0,0.7,1.87,Core + independent share,Grants + blended,Public tranche no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Mostly public/grant; limited commercial co-finance for enterprise assurance products,,,,,,,,,
capital_classification,SA-AS-02,,,Independently contracted assurance,not_appropriate_for_return_seeking,150.0,0.15,0.4,Independent oversight,Ring-fenced,No return-seeking capital,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Separation of duties; protected from investor control,,,,,,,,,
