cost_center_id,description,cost_center,responsible_organization_type,quantity,unit,unit_cost_low_usd_m,unit_cost_base_usd_m,unit_cost_high_usd_m,y1_qty_share,y2_qty_share,y3_qty_share,y4_qty_share,y5_qty_share,escalation_annual,currency,conversion_date,one_time_share,recurring_share,contingency_class,is_reserve,evidence_source,confidence,dependency,subtotal_formula,subtotal_low_usd_m,subtotal_base_usd_m,subtotal_high_usd_m,y1_base_usd_m,y2_base_usd_m,y3_base_usd_m,y4_base_usd_m,y5_base_usd_m,category,core_controlled_share,pass_through_share,notes
GC-RS-01,Global research & stewardship office,global-core.research-stewardship,civizen_global_core,1,5y_program,300,450,700,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.2,0.8,personnel_15,FALSE,10_layer1,M,none,quantity * unit_cost_{scenario}_usd_m,300,450,700,36.0,63.0,90.0,117.0,144.0,horizontal,1.0,0,qty*unit_M
GC-CP-01,"Core platform engineering (federation, shared APIs, records, civic patterns)",core-platform.engineering,civizen_global_core,1,5y_program,1000,1600,2500,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.35,0.65,personnel_15,FALSE,10_layer2,M,GC-RS-01,quantity * unit_cost_{scenario}_usd_m,1000,1600,2500,128.0,224.0,320.0,416.0,512.0,horizontal,1.0,0,Shared horizontal only — not domain clinical/economic systems
GC-LG-01,"Constitutional, governance design, core legal counsel",global-core.governance-legal,civizen_global_core,1,5y_program,250,400,650,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.3,0.7,legal_30,FALSE,10_layer3_partial,L-M,GC-RS-01,quantity * unit_cost_{scenario}_usd_m,250,400,650,32.0,56.0,80.0,104.0,128.0,horizontal,1.0,0,J counsel excluded
GOV-OV-01,Independent oversight body (ring-fenced),independent-governance.oversight,independent_oversight,1,5y_program,250,400,700,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.15,0.85,personnel_15,FALSE,10_layer14,M,GC-LG-01,quantity * unit_cost_{scenario}_usd_m,250,400,700,32.0,56.0,80.0,104.0,128.0,oversight,0.0,0,not core-controlled
SA-AS-01,"Security, privacy, AI assurance program (core-procured)",assurance.security-privacy-ai,civizen_global_core,1,5y_program,400,700,1200,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.25,0.75,assurance_30,FALSE,10_layer4,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,400,700,1200,56.0,98.0,140.0,182.0,224.0,horizontal,0.85,0,15pct independent direct
SA-AS-02,Independently contracted assurance (non-core controlled),assurance.independent-contracts,independent_oversight,1,5y_program,100,150,200,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.2,0.8,assurance_30,FALSE,10_layer4,L,SA-AS-01,quantity * unit_cost_{scenario}_usd_m,100,150,200,12.0,21.0,30.0,39.0,48.0,oversight,0.0,0,separation of duties
OE-OP-01,Operator network establishment (100-150 operators),operator-network.establishment,certified_operator,1,5y_program,400,600,1000,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,1.0,0.0,infra_15,FALSE,10_layer5_setup_share,M,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,400,600,1000,48.0,84.0,120.0,156.0,192.0,operator,0.2,0,core seed share
OR-OP-01,Operator network recurring operations,operator-network.recurring,certified_operator,1,5y_program,300,600,1000,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.0,1.0,infra_15,FALSE,10_layer5_opex_share,M,OE-OP-01,quantity * unit_cost_{scenario}_usd_m,300,600,1000,48.0,84.0,120.0,156.0,192.0,operator,0.05,0,operators primarily fund
JP-IMP-01,Jurisdiction implementation programs (archetype mix ~72),jurisdiction.implementation,government_or_regional,1,5y_program,4500,7000,11000,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.55,0.45,integration_30,FALSE,10_layer6,M,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,4500,7000,11000,560.0,980.0,1400.0,1820.0,2240.0,jurisdiction,0.02,0,includes domain deployment envelopes at J
II-LEG-01,Institutional & legacy integrations,institutional.legacy-integration,participating_public_institution,1,5y_program,6000,10000,16000,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.45,0.55,integration_30,FALSE,10_layer7,L-M,JP-IMP-01,quantity * unit_cost_{scenario}_usd_m,6000,10000,16000,800.0,1400.0,2000.0,2600.0,3200.0,institutional,0.02,0,domain clinical/economic systems live here+J
