account_code,level,parent_code,name,category_group,typical_nature,notes
EX-01,1,,Personnel and contributor compensation,01,opex,Top-level expense class
EX-01-01,2,EX-01,Salaries and wages,01,opex,
EX-01-02,2,EX-01,Contractor and professional labor,01,opex,
EX-01-03,2,EX-01,Bonuses and incentive pay,01,opex,
EX-01-04,2,EX-01,Secondee host costs,01,opex,
EX-01-05,2,EX-01,Temporary and gig labor,01,opex,
EX-01-06,2,EX-01,Severance and termination,01,opex,
EX-02,1,,"Benefits, health, safety, and wellbeing",02,opex,Top-level expense class
EX-02-01,2,EX-02,Health insurance and medical,02,opex,
EX-02-02,2,EX-02,Retirement and pension,02,opex,
EX-02-03,2,EX-02,Workers compensation,02,opex,
EX-02-04,2,EX-02,Wellbeing and EAP,02,opex,
EX-02-05,2,EX-02,Occupational safety,02,opex,
EX-03,1,,Professional and specialist services,03,opex,Top-level expense class
EX-03-01,2,EX-03,Legal counsel,03,opex,
EX-03-02,2,EX-03,Accounting and audit fees,03,opex,
EX-03-03,2,EX-03,Consulting and advisory,03,opex,
EX-03-04,2,EX-03,Design and UX services,03,opex,
EX-03-05,2,EX-03,Specialist domain experts,03,opex,
EX-04,1,,"Research, studies, and scientific validation",04,opex,Top-level expense class
EX-04-01,2,EX-04,Domain studies,04,opex,
EX-04-02,2,EX-04,Independent review panels,04,opex,
EX-04-03,2,EX-04,Surveys and fieldwork,04,opex,
EX-04-04,2,EX-04,Academic partnerships,04,opex,
EX-04-05,2,EX-04,Cost-model validation,04,opex,
EX-05,1,,"Product, software, and system development",05,opex,Top-level expense class
EX-05-01,2,EX-05,Core platform engineering,05,opex,
EX-05-02,2,EX-05,Application features,05,opex,
EX-05-03,2,EX-05,QA and testing,05,opex,
EX-05-04,2,EX-05,DevOps tooling,05,opex,
EX-05-05,2,EX-05,Open-source stewardship labor,05,opex,
EX-06,1,,"Data, AI, knowledge, and statistics",06,opex,Top-level expense class
EX-06-01,2,EX-06,Data engineering,06,opex,
EX-06-02,2,EX-06,AI model development and eval,06,opex,
EX-06-03,2,EX-06,Statistics and measurement,06,opex,
EX-06-04,2,EX-06,Knowledge bases and catalogs,06,opex,
EX-06-05,2,EX-06,Synthetic/test data programs,06,opex,
EX-07,1,,"Security, privacy, assurance, and auditing",07,opex,Top-level expense class
EX-07-01,2,EX-07,Security operations,07,opex,
EX-07-02,2,EX-07,Privacy and DPIA,07,opex,
EX-07-03,2,EX-07,Penetration testing,07,opex,
EX-07-04,2,EX-07,Independent assurance contracts,07,opex,
EX-07-05,2,EX-07,Compliance monitoring,07,opex,
EX-08,1,,Digital infrastructure and connectivity,08,opex,Top-level expense class
EX-08-01,2,EX-08,Cloud and hosting,08,opex,
EX-08-02,2,EX-08,CDN and networking,08,opex,
EX-08-03,2,EX-08,Connectivity subsidies,08,opex,
EX-08-04,2,EX-08,Identity infrastructure ops,08,opex,
EX-08-05,2,EX-08,Backup and archival storage,08,opex,
EX-09,1,,"Physical facilities, equipment, and capital assets",09,opex,Top-level expense class
EX-09-01,2,EX-09,Offices and facilities lease,09,capex,
EX-09-02,2,EX-09,Hardware and devices,09,capex,
EX-09-03,2,EX-09,Furniture and fit-out,09,capex,
EX-09-04,2,EX-09,Capital asset purchases,09,capex,
EX-09-05,2,EX-09,Depreciation (non-cash),09,opex,
EX-10,1,,"Federation, operators, and decentralized hosting",10,opex,Top-level expense class
EX-10-01,2,EX-10,Operator seed and establishment,10,opex,
EX-10-02,2,EX-10,Operator recurring fees,10,opex,
EX-10-03,2,EX-10,Federation directory ops,10,opex,
