year,scenario,total_usd_b,maintain_usd_b,expand_usd_b,replace_usd_b
1,base,3.0,0.75,1.95,0.3
2,base,5.25,1.31,3.41,0.53
3,base,7.5,1.88,4.88,0.75
4,base,9.75,2.44,6.34,0.98
5,base,12.0,3.0,7.8,1.2
6,base,22,9.9,9.9,2.2
7,base,26,11.7,11.7,2.6
8,base,30,13.5,13.5,3.0
9,base,36,16.2,16.2,3.6
10,base,46,20.7,20.7,4.6
11,base,40,22.0,12.0,6.0
12,base,44,24.2,13.2,6.6
13,base,48,26.4,14.4,7.2
14,base,52,28.6,15.6,7.8
15,base,56,30.8,16.8,8.4
16,base,60,33.0,18.0,9.0
17,base,64,35.2,19.2,9.6
18,base,68,37.4,20.4,10.2
19,base,72,39.6,21.6,10.8
20,base,81,44.55,24.3,12.15
